Stock,Total_Test_Days,HAR_QLIKE_Global,LSHAR_QLIKE_Global,ResidLS_QLIKE_Global,WeeklyLS_QLIKE_Global,LSHAR_Active_Days,LSHAR_Active_Pct,HAR_on_LSHAR_Days,LSHAR_on_Active_Days,LSHAR_Improvement_Pct,ResidLS_Active_Days,ResidLS_Active_Pct,HAR_on_ResidLS_Days,ResidLS_on_Active_Days,ResidLS_Improvement_Pct,WeeklyLS_Active_Days,WeeklyLS_Active_Pct,HAR_on_WeeklyLS_Days,WeeklyLS_on_Active_Days,WeeklyLS_Improvement_Pct
Cleaned_HINDALCO_5minute.csv,803,-6.957506880379284,-6.957661944099641,-6.952239890158046,-6.957501900022373,20,2.4906600249066,-7.418376074083805,-7.4246018824561135,0.08392414067626328,16,1.9925280199252802,-5.8830724160541354,-5.618735344325813,-4.493180655179102,1,0.12453300124533001,-7.272370057350934,-7.268370830751116,-0.054992066799129644
Cleaned_PFC_5minute.csv,803,-6.681711679979669,-6.679979742344046,-6.681711679979669,-6.681466004393658,89,11.083437110834371,-6.813654565577955,-6.798028206910483,-0.229338874125128,0,0.0,,,0.0,5,0.62266500622665,-5.978291988070386,-5.938836488956999,-0.6599794588842484
Cleaned_ETERNAL_5minute.csv,803,-6.359925821589824,-6.359331598301787,-6.359903281487581,-6.359923690155635,8,0.9962640099626401,-7.178022677252114,-7.1183775147154345,-0.8309414057119302,1,0.12453300124533001,-6.363300227963306,-6.345200525861782,-0.2844389146057477,124,15.442092154420923,-6.465705667564309,-6.465691864809037,-0.00021347639347885645
Cleaned_NIFTY 50_5minute.csv,804,-8.897991670397717,-8.896891296998094,-8.89727772981862,-8.895901624549053,26,3.233830845771144,-9.32226003251042,-9.288233101229789,-0.36500731755995725,4,0.4975124378109453,-8.393236103890159,-8.249734047491955,-1.7097345365000733,88,10.945273631840797,-9.101541899924094,-9.08244648103404,-0.20980421888968778
Cleaned_NIFTY BANK_5minute.csv,804,-8.499409009324346,-8.495682024425514,-8.498580815092533,-8.499436201250171,77,9.577114427860696,-8.748964830767703,-8.71004930013576,-0.4448015437790751,14,1.7412935323383085,-8.391986169332792,-8.344424157734458,-0.5667551237410511,27,3.3582089552238807,-8.065359740219305,-8.066169455343893,0.010039417343650534
Cleaned_VBL_5minute.csv,804,-4.450474640128841,-4.448745772244079,-4.44770717665289,-4.450474640128841,31,3.8557213930348255,-7.310193685331345,-7.26535466019105,-0.613376704782389,19,2.36318407960199,-6.676065104768994,-6.5589577029445225,-1.754138103608615,0,0.0,,,0.0
Cleaned_SHREECEM_5minute.csv,803,-7.3536692622590305,-7.355525114786987,-7.3536692622590305,-7.3536692622590305,113,14.072229140722293,-7.565480290695969,-7.578668340076054,0.17431873289398428,0,0.0,,,0.0,0,0.0,,,0.0
Cleaned_RECLTD_5minute.csv,803,-6.749536640510971,-6.747760440240709,-6.7488258282409745,-6.749487815463762,59,7.347447073474471,-6.435484303821879,-6.411309917092726,-0.3756420742848596,65,8.094645080946451,-6.552955697762301,-6.544174432334496,-0.13400465122637129,8,0.9962640099626401,-6.647156556325129,-6.642255742211583,-0.07372797785065259
Cleaned_LT_5minute.csv,803,-7.502256345914404,-7.502256345914404,-7.498541287951937,-7.502275131414302,0,0.0,,,0.0,78,9.71357409713574,-7.945155286890813,-7.906909241456701,-0.48137568182231644,8,0.9962640099626401,-7.884425036296205,-7.886310630848552,0.023915435097248156
Cleaned_INFY_5minute.csv,803,-7.399749122723412,-7.398945249735444,-7.399749122723412,-7.408445291978552,11,1.36986301369863,-7.105368861135616,-7.046686133013958,-0.825892775850603,0,0.0,,,0.0,45,5.603985056039851,-6.641304958865745,-6.796483268018565,2.3365635234934707
